other_title,format,medium,date,contents,image_url,related_items,notes,repository,digital_id,contributors,source_collection,created_published,language,location,subjects,title,call_number,summary,genre,number_former_id,access_advisory
,['cartographic'],"['1 manuscript map : color, mounted on paper ; 55 x 99 cm + 1 manuscript drawing (color, mounted on cloth and laminated ; 39 x 52 cm)']",1845,,"['https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif#h=150&w=265', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:ct003779r/full/pct:12.5/0/default.jpg#h=830&w=1469', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd373:g3734:g3734a:ct003779r/full/pct:25/0/default.jpg#h=1660&w=2938']",,"['Shows buildings pictorially.', 'Pen-and-ink and watercolor.', 'Oriented with north to the right.', 'Folded vertically, with losses in the upper half.', 'Profiles on verso: The hill east & west -- The hill north & south -- Shape of the road from one bridge to the other.', 'Accompanying drawing shows three Shaker buildings, annotated, probably incorrectly, in pencil in lower margin as: 1. Hancock Mass. ; 2. Mt. Lebanon, South family, NY. ; 3. Mt. Lebanon, NY., Shaker meeting house.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['http://hdl.loc.gov/loc.gmd/g3734a.ct003779r', 'http://hdl.loc.gov/loc.gmd/g3734a.ct003779v', 'http://hdl.loc.gov/loc.gmd/g3734a.ct003780']","['Bussell, Joshua H., 1816-1900, cartographer.']",,"[Alfred, Maine] : Joshua H. Bussell, August 28, 1845.",['eng'],"['Maine--Alfred', 'Alfred (Me. : Town)']","['Shaker architecture--Maine--Alfred--Maps', 'Shaker architecture--Pictorial works', 'Alfred (Me. : Town)--Maps', 'United States--Maine--Alfred (Town)']","A plan of Alfred, Maine",['G3734.A432 1845 .B8'],,"['Manuscript maps', 'Pictorial maps']","['https://www.loc.gov/item/2013593116', 'https://www.loc.gov/item/18815464']",
"['[四川湖北水道图].', 'Min Jiang tu shuo', 'Map of the waterways in Sichuan and Hubei Provinces']",['cartographic'],['1 ms. map : col. ; on 14 sheets 37 x 42 cm. folded in case 39 x 26 cm.'],1735,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822ym/gct00273/ca000001.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822ym/gct00273/ca000001.gif#h=150&w=201', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7822m:g7822ym:gct00273:ca000001/full/pct:12.5/0/default.jpg#h=520&w=698', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7m:g7822m:g7822ym:gct00273:ca000001/full/pct:25/0/default.jpg#h=1041&w=1397']",,"['Scale not given.', 'Title supplied.', 'Previous supplied title: Min Jiang tu shuo.', 'Relief shown pictorially.', 'Pictorial map.', 'Hummel purchase 1934, no. 4.', 'Shows the waterways and points of interest of Min and Yangtze Rivers from Songpan, Sichuan to Jingzhou, Hubei.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text.', 'Previous call number: G7822.Y3A5 1733 .M5 Vault Shelf']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7822ym.gct00273'],,,[After 1735],['chi'],"['Yangtze River (China)', 'Min River (Sichuan Sheng, China)']","['Yangtze River (China)--Maps--Early works to 1800', 'Min River (Sichuan Sheng, China)--Maps--Early works to 1800', 'China--Sichuan Sheng--Min River', 'China--Yangtze River']","[Sichuan, Hubei shui dao tu].",['G7822.Y3A5 1735 .S5'],,"['Early maps', 'Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005028', 'https://www.loc.gov/item/5403599']",
"['Alternate supplied title: California title collection drawer 50', 'Alternate supplied title: California title collection--various subjects parks Yosemite 1932-1965']","['cartographic', 'collection']","['33 map sheets in 26 folders in 1 drawer : some color, some photocopies ; various sizes']",1932,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:50:ca-050:ca-050-01-01/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:50:ca-050:ca-050-01-01/full/pct:12.5/0/default.jpg#h=1155&w=1266', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:50:ca-050:ca-050-01-01/full/pct:25/0/default.jpg#h=2311&w=2532']",,"['This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-050', 'https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-050']",,,"[Various places] : [various publishers], [1932-1965]",['eng'],['Yosemite National Park (Calif.)'],"['Yosemite National Park (Calif.)--Maps', 'United States--California']",[Maps of California--various subjects parks Yosemite 1932-1965],['G4362.Y6 coll .M3 drawer 50'],,"['Maps', 'Pictorial maps']",,
,['cartographic'],['1 view : col. ; 42 x 58 cm.'],1935,,"['https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003337.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003337.gif#h=150&w=201', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd428:g4282:g4282g:ct003337/full/pct:12.5/0/default.jpg#h=893&w=1195', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd428:g4282:g4282g:ct003337/full/pct:25/0/default.jpg#h=1786&w=2391']",,"['A panoramic view.', 'Relief shown pictorially.', 'Available also through the Library of Congress Web site as a raster image.', 'Inset map of dam area with north oriented towards the lower right.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g4282g.ct003337'],"['Lindgren, Jolly.']",,"Spokane, Wash. : Lindgren Bros., c1935.",['eng'],"['Grand Coulee Dam Region (Wash.)', 'Grand Coulee (Wash. : Coulee)', 'Dry Falls (Wash.)']","['Grand Coulee Dam Region (Wash.)--Maps', 'Grand Coulee (Wash. : Coulee)--Maps', 'Dry Falls (Wash.)--Maps', 'United States--Washington (State)--Grand Coulee Dam Region', 'United States--Washington (State)--Grand Coulee (Coulee)', 'United States--Washington (State)--Dry Falls']","A hysterical map of the Grand Coulee Dam (to be the world's largest concrete example), also the Grand Coulee & Dry Falls : a land of game & scenic splendor",['G4282.G735A5 1935 .L5'],,['Pictorial maps'],"['https://www.loc.gov/item/2012593513', 'https://www.loc.gov/item/17537558']",
"['Pennsylvania title collection--drawer 27', 'Pennsylvania title collection--various subjects Pb-Poss']","['cartographic', 'collection']","['60 map sheets in 34 folders in 1 drawer : some color, some photocopies ; various sizes']",1864,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-0:27:pa-027:pa-027-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-0:27:pa-027:pa-027-00001/full/pct:12.5/0/default.jpg#h=707&w=438', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-0:27:pa-027:pa-027-00001/full/pct:25/0/default.jpg#h=1414&w=877']",,"['This record covers single maps of Pennsylvania as a whole covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-027'],,,"[Various places] : [various publishers], [from approximately 1864 to 1964]",['eng'],['Pennsylvania'],"['Pennsylvania--Maps', 'United States--Pennsylvania']",[Maps of Pennsylvania--various subjects Pb-Poss],['G3821 coll .M3 drawer 27'],,"['Maps', 'Physical maps', 'Pictorial maps']",,
,['cartographic'],['1 online resource.'],1579,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:6.25/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:6.25/0/default.jpg#h=490&w=323', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:12.5/0/default.jpg#h=981&w=647', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:25/0/default.jpg#h=1962&w=1295', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:50/0/default.jpg#h=3925&w=2591', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:8:wdl_00458:txu-oclc-34022876-jgi-24-7-map/full/pct:100/0/default.jpg#h=7851&w=5183']",,"['Title devised, in English, by Library staff.', 'Original resource extent: 22.3 x 21.5 centimeters.', 'Original resource at: University of Texas Libraries.', 'Content in Spanish.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.458'],,"['Relaciones Geográficas of Mexico and Guatemala, 1577-1585, Joaquín García Icazbalceta Manuscript Collection']","[place of publication not identified] : [publisher not identified], 1579-10-13.",['spa'],,"['Mexico--Oaxaca--Santa María Ixcatlán', '1579', 'Art, Mexican', 'Aztec art', 'Manuscript maps', 'New Spain', 'Pictorial maps', 'Spain--Colonies']","Ixcatlán, Santa María, Mexico.",,"['This map from Ixcatlán, Santa María, in the present-day state of Oaxaca, Mexico, is from the Relaciones Geográficas collection in the Benson Latin American Collection at the University of Texas at Austin. Dating from between 1578 and 1586, the Relaciones Geográficas are responses to a questionnaire initiated by the Spanish crown in 1577, requesting information about Spanish-held territories in the Americas. The questionnaires covered such topics as demographics, political administration, languages spoken, physical terrain, and vegetation. The crown received 191 responses to these questionnaires. Of the 167 responses known to exist, 43 are in the Benson Latin American Collection. The others are held at the Archivo General de Indias, Seville, and the Real Academia de la Historia, Madrid. The relaciones contain important historical, cultural, and geographical information about New Spain during the 16th century. Many of the questionnaires are accompanied by maps and pictures. These both convey information about such topics as the colonial economy and the spread of European religion in New Spain and are artifacts for the study of the history of Latin American art and manuscript painting. This map, dated October 13, 1579, has glosses in Spanish.']",,,
,['cartographic'],['1 map ; 52 x 64 cm'],1740 d1849,,"['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3803/g3803o/la000541.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3803/g3803o/la000541.gif#h=150&w=189', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3803:g3803o:la000541/full/pct:12.5/0/default.jpg#h=849&w=1068', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3803:g3803o:la000541/full/pct:25/0/default.jpg#h=1698&w=2136']",,"['Pictorial history map with drawings of early buildings/settlers/events and with names of early settlers/landowners.', '""© Annie Olmstead Peet 1963.""', 'LC copy imperfect: Laminated, mounted on cloth backing, rubber-stamped.', 'LC copy accompanied by letter handwritten by Annie O. Peet, Rochester N.Y., allowing the map to be reproduced without the specific permission of the creator.', 'LC Land ownership maps, 541', 'Includes numerous historical notes in the map area, ancillary illustrations of historic buildings, illustration (bust) of ""Judge William Cooper"", and illustration (bust) of ""James Fenimore Cooper"".', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g3803o.la000541'],"['Peet, Annie Olmstead.']",,"[Rochester, N.Y.?] : [Annie Olmstead Peet], [1963], © 1963",['eng'],"['New York (State)--Otsego County', 'Otsego County (N.Y.)']","['Otsego County (N.Y.)--History--Colonial period, ca. 1600-1775--Maps', 'Otsego County (N.Y.)--History--1775-1865--Maps', 'Colonists--New York (State)--Otsego County--Maps', 'Landowners--New York (State)--Otsego County--Maps', 'United States--New York (State)--Otsego County']",Otsego County before 1850.,['G3803.O8S2 1963 .P4'],,['Pictorial maps'],"['https://www.loc.gov/item/2013593258', 'https://www.loc.gov/item/17969745']",
,['cartographic'],['1 map : col. ; 48 x 56 cm.'],1970,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7144/g7144b/ct002932.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7144/g7144b/ct002932.gif#h=150&w=178', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7144:g7144b:ct002932/full/pct:12.5/0/default.jpg#h=1001&w=1187', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7144:g7144b:ct002932/full/pct:25/0/default.jpg#h=2002&w=2374']",,"['Facsimile.', 'Selected points of interest shown pictorially.', 'Place names in romanized Russian or cyrillic Russian.', 'Original version: [Baku, panoramnyĭ plan 1970 g.]. [Baku? : s.n., 1970].', 'Insets: [Skhema bakinskogo metropolitena] = Baku subway system -- [Old town vicinity].', '""501034 4-72.""', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7144b.ct002932'],['United States. Central Intelligence Agency.'],,"[Washington : Central Intelligence Agency, 1972]","['eng', 'engrus']","['Azerbaijan--Baku', 'Baku (Azerbaijan)']","['Baku (Azerbaijan)--Maps--Facsimiles', 'Subways--Azerbaijan--Baku--Maps--Facsimiles', 'Azerbaijan--Baku']","Tourist map of Baku : [Baku, panoramnyĭ plan 1970g.].",['G7144.B2E635 1970 .U5 1972'],,"['Tourist maps', 'Pictorial maps']","['https://www.loc.gov/item/86693229', 'https://www.loc.gov/item/5490415']",
"['[艾渾,羅刹,台灣,蒙古圖]', 'Pictorical maps of Aihun, Russia, Taiwan and Mongolia']",['cartographic'],['4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.'],1697,"['Aihun zhi di tu -- Luosha zhi di tu -- [Taiwan, Penghu Islands] -- [Inner Mongolia].']","['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif#h=150&w=274', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7801:g7801r:ct002202a/full/pct:12.5/0/default.jpg#h=839&w=1535', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7801:g7801r:ct002202a/full/pct:25/0/default.jpg#h=1678&w=3070']",,"['Scales differ.', 'Manuscript on silk.', 'Relief shown pictorially.', 'Pictorial map.', ""Bird's-eye view."", 'Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia.', 'Available also through the Library of Congress Web site as a raster image.', 'Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia.', 'Hummel purchase 1930, no. 6.', 'AACR2']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['http://hdl.loc.gov/loc.gmd/g7801r.ct002202a', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202b', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202c', 'http://hdl.loc.gov/loc.gmd/g7801r.ct002202d']",,,[Between 1697 and 1722],['chi'],"['East Asia', 'Heihe Shi (China)', 'Siberia, Eastern (Russia)', 'Taiwan', 'Inner Mongolia (China)']","['Fortification--East Asia--Maps--Early works to 1800', 'Heihe Shi (China)--Maps--Early works to 1800', 'Siberia, Eastern (Russia)--Maps--Early works to 1800', 'Taiwan--Maps--Early works to 1800', 'Inner Mongolia (China)--Maps--Early works to 1800', 'East Asia', 'China--Heihe Shi', 'Russia--Siberia, Eastern', 'China--Inner Mongolia', 'Taiwan']","[Aihun, Luosha, Taiwan, Nei Menggu tu]",['G7801.R4 1722 .A4'],,"['Pictorial maps', 'Early maps']","['https://www.loc.gov/item/gm71005078', 'https://www.loc.gov/item/5403649']",
"['[廣西邊關形勢略圖]', 'Sketch map of the Guangxi border']",['cartographic'],['1 ms. map : col. ; 57 x 120 cm. on scroll.'],1887,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003302.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003302.gif#h=150&w=324', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823g:ct003302/full/pct:12.5/0/default.jpg#h=910&w=1963', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823g:ct003302/full/pct:25/0/default.jpg#h=1820&w=3926']",,"['Labels pasted on verso: Guxiangzhai su biao zi hua.', 'Relief shown pictorially.', 'Pictorial map.', 'Shows Zhennanguan Pass along the French-Indo China border. Zhennanguan Pass is an important defense post of Longzhou against French intrusion in the late 19th century in Guangxi Province.', 'Available also through the Library of Congress Web site as a raster image.', 'Hummel purchase 1930, no. 33.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823g.ct003302'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[1887?],['chi'],"['China--Guangxi Zhuangzu Zizhiqu Region', 'Guangxi Zhuangzu Zizhiqu (China)']","['Fortification--China--Guangxi Zhuangzu Zizhiqu Region--Maps', 'Guangxi Zhuangzu Zizhiqu (China)--Maps', 'China--Guangxi Zhuangzu Zizhiqu', 'China--Guangxi Zhuangzu Zizhiqu Region']",[Guangxi bian guan xing shi lüe tu],['G7823.G85R4 1887 .G81'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005015', 'https://www.loc.gov/item/5403586']",
"['武州豊嶋郡江戶庄圖', 'Bushū Toshima Gōri Edo no shōzu', 'Bushū Toshima-gun Edo-shō zu']",['cartographic'],['map 82 x 118 cm.'],1800,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011915.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964t/ct011915.gif#h=108&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964t:ct011915/full/pct:12.5/0/default.jpg#h=1317&w=1824', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964t:ct011915/full/pct:25/0/default.jpg#h=2634&w=3649']",,"['Wood block print.', 'Reprint of 1630 or 1631 map.', 'Oriented with north toward the upper right.', 'Relief shown pictorially.', 'LC copy imperfect: Has numerous holes.', 'LC copy annotated in black ink on verso: Ōmukashi Edo ezu.', 'LC copy annotated to show text and place names in repaired portion of map.', 'Japanese.', 'Pictorial map.', 'Cadastral map showing land ownership in central Tokyo.', 'Includes distance chart.', 'Available also through the Library of Congress Web site as a raster image.', 'Vault', 'AACR2']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g7964t.ct011915'],,,"[Japan] : [publisher not identified], [1800-1899?]",['jpn'],"['Japan--Tokyo', 'Tokyo (Japan)']","['Real property--Japan--Tokyo--Maps', 'Tokyo (Japan)--Maps', 'Japan--Tokyo']",Bushū Toshima-gun Edo shōzu,['G7964.T7G46 1631 .B8 18--'],,"['Pictorial maps', 'Early maps']","['https://www.loc.gov/item/gm71005175', 'https://www.loc.gov/item/5403746']",
,['cartographic'],['1 online resource.'],1672,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:3.125/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:3.125/0/default.jpg#h=205&w=267', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:6.25/0/default.jpg#h=410&w=534', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:12.5/0/default.jpg#h=821&w=1068', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:25/0/default.jpg#h=1642&w=2136', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:50/0/default.jpg#h=3285&w=4272', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:100/0/default.jpg#h=6571&w=8545']",,"['Title devised, in English, by Library staff.', 'Original resource extent: 2 scrolls ; 41 centimeters.', 'Original resource at: National Diet Library.', 'Content in Japanese.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.14435'],,,"Kyoto : Nishida Shobee, 1672.",['jpn'],,"['Japan', '1672', 'Description and travel', 'Pictorial maps']",Map of the Sea and Land Routes from Edo to Nagasaki.,,"['Presented here is a pictorial route map, published in 1672 (early Edo period), that depicts the journey from Edo (present-day Tokyo) to Nagasaki. The first volume shows the land route from Edo to Kyōto. Starting from Edo Castle, it proceeds to Kyōto along the Tōkaidō, which was the main road in the Edo period. It depicts stations on the route, natural scenery, and famous places, such as Mount Fuji (in the 11th scene), accompanied by explanatory text. The second volume shows the route from Osaka to Nagasaki. It depicts mainly sea routes, although some land route scenes also appear after Kyūshū. Seto Naikai (The Inland Sea) stretches out in the middle of the pictures, and towns and scenic spots along the Honshū and Shikoku coasts are also depicted. This volume does not feature the sort of explanatory text that was provided in the first volume, but it does display the distances of the sea routes. It is thought that the contents and drawing techniques are based on another pictorial route map, compiled by the Shogunate and completed in 1668.']",,,
"['攝州大坂全圖 /', 'Zōshū kaisei Sesshū Ōsaka chizu zen']",['cartographic'],['1 map ; 180 x 140 cm. on 2 sheets 94 x 145 cm. fold. in cover 29 x 18 cm on 2 sheets 93 x 144 cm. fold. in cover 29 x 18 cm.'],1844,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011894.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011894.gif#h=150&w=117', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964o:ct011894/full/pct:12.5/0/default.jpg#h=2815&w=2187', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964o:ct011894/full/pct:25/0/default.jpg#h=5631&w=4374']",,"['Wood block print.', '""Fujimura Naoyuki, Tenpō 15.""', 'Oriented with north to the left.', 'Relief shown pictorially.', 'Japanese.', 'Pictorial map.', 'Includes distance chart and text.', 'Available also through the Library of Congress Web site as a raster image.', 'Vault', 'AACR2: 100; 651', '""天明 9, 天保15年再鐫.""', '""藤村直之訂正・岡田玉山元圖・吉田政章再写・樋口与兵衛鐫字・河内屋太介他.""']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['https://hdl.loc.gov/loc.gmd/g7964o.ct011894', 'https://hdl.loc.gov/loc.gmd/g7964o.ct011916']","['Okada, Gyokuzan, 1737-ca.1812.', 'Fujimura, Naoyuki, active 19th century.']",,"Ōsaka : Itamiya Zenbē, Tenpō 15 [1844]",['jpn'],['Osaka (Japan)'],['Osaka (Japan)--Maps'],Sesshū Ōsaka zenzu,['G7964.O8A5 1844 .O5'],,['Pictorial maps'],"['https://www.loc.gov/item/gm71005194', 'https://www.loc.gov/item/5403765']",
,['cartographic'],['1 ms. map : col. ; 59 x 96 cm.'],1813,,"['https://tile.loc.gov/storage-services/service/gmd/gmd408/g4084/g4084p/ct001213.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd408/g4084/g4084p/ct001213.gif#h=150&w=236', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd408:g4084:g4084p:ct001213/full/pct:12.5/0/default.jpg#h=907&w=1430', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd408:g4084:g4084p:ct001213/full/pct:25/0/default.jpg#h=1815&w=2860']",,"['Ms. pictorial map showing troop positions during the Siege of Fort Meigs, Perrysburg (Ohio), 1813.', 'Pen-and-ink and watercolors.', 'Text, descriptive notes, and poem are mechanically printed on the sheet.', 'Brittle, missing sections of margin/border, mounted on cloth backing.', 'Originally drawn on 2 sheets.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text, notes, poem, and col. ill. of U.S. flag.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g4084p.ct001213'],"['Sebree, William, 1776-1827.']",,[1813],['eng'],['Fort Meigs (Ohio)'],"['Fort Meigs (Ohio)--Maps', 'Fort Meigs (Ohio)--Siege, 1813--Maps', 'United States--Ohio--Fort Meigs']","Plan of Fort Meigs' and its environs : compricing [sic] the operations of the American forces, under Genl. W.H. Harrison, and the British Army and their allies, under Genl. Proctor and Tecumseh",['G4084.P4:2F6A5 1813 .S4'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/2004625488', 'https://www.loc.gov/item/13595313']",
"['澠池縣河圖.', 'Map of the river systems in Mianchi County']",['cartographic'],['col. map 90 x 90 cm. fold. in cover 32 x 10 cm.'],1734,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003372.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003372.gif#h=150&w=201', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823m:ct003372/full/pct:12.5/0/default.jpg#h=1388&w=1861', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823m:ct003372/full/pct:25/0/default.jpg#h=2776&w=3722']",,"['Scale ca. 1:25,000.', 'Shows rivers in Mianchi Xian, Henan Province.', 'Cover title.', 'Manuscript on silk.', 'Labels pasted on to show physical features.', 'Oriented with north to the bottom.', 'Relief shown pictorially.', 'Hummel purchase 1934, no. 27.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text.', 'Previous call number: G7823.M5C3 1767 .M5 Vault Shelf', 'AACR2: 700/1']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823m.ct003372'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[Between 1734 and 1779],['chi'],"['China--Mianchi Xian', 'Mianchi Xian (China)']","['Rivers--China--Mianchi Xian--Maps', 'Mianchi Xian (China)--Maps', 'China--Mianchi Xian']",Mianchi Xian he tu.,['G7823.M5C3 1779 .M5'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005098', 'https://www.loc.gov/item/5403669']",
